id|name
431|TRIAL MINI ELECTRIC 20" XL
455|TRIAL MINI ELECTRIC 16"
456|TRIAL MINI ELECTRIC 20"
001|SCOOTER ARK AIR MOFA
023|SCOOTER ARK 50 AIR MY07-MY11
034|MOTARD RR 50 MY05-MY06
036|MOTARD RR 50 MY07
012|SCOOTER ARK 50 LC MY07-MY11
039|MOTARD RR 125 4T MY07
041|MOTARD RR 125 MY08-MY09
043|MOTARD RR 50 MY08-MY09
046|MOTARD RR 50 TRACK MY08
047|ALP 200 MY07
048|ALP 4.0 350 MY07-MY13
052|MOTARD M4 350 MY07-MY15
058|ALP 125 MY08-MY11
060|URBAN 125 MY11-MY12
063|URBAN 200 MY11-MY12
064|SCOOTER ARK 50 AIR MY13
065|SCOOTER ARK 50 LC MY13
066|MOTARD RR 50 MY09
067|MOTARD RR 50 MY10-MY11
069|MOTARD RR 50 TRACK MY10-MY11
070|MOTARD RR 50 MY10-MY11
071|MOTARD RR 125 MY10
072|MOTARD RR 125 MY10
073|MOTARD RR 400 4T MY09
074|MOTARD RR 450 4T MY09
075|MOTARD RR 525 4T MY09
076|URBAN 125 4T MY11-MY12
077|URBAN 200 4T MY11-MY12
080|ALP 200 MY16-MY17
271|TRIAL EVO 300 4T FACTORY MY18
082|MOTARD M4 350 MY16
085|ALP 4.0 350 4T MY16-MY17
372|ENDURO RR 250 2T MY19
373|ENDURO RR 300 2T MY19
374|ENDURO RR 250 2T RACING MY19
375|ENDURO RR 300 2T RACING MY19
459|ENDURO RS 400-450-525 4T MY08 USA
460|ENDURO RS 400-450-525 4T MY09 USA
103|MOTARD RR 50 SPORT MY16
104|MOTARD RR 50 TRACK MY16
105|MOTARD RR 50 MY16
107|MOTARD RR 50 2T TRACK MY17
108|MOTARD RR 50 2T MY17
109|MOTARD RR 50 2T SPORT MY18
110|MOTARD RR 50 2T TRACK MY18
112|TRIAL REV 50 MY08
113|TRIAL REV 80 MY08
114|TRIAL EVO 80 SENIOR MY09
115|TRIAL EVO 80 JUNIOR MY09
116|TRIAL EVO 80 SENIOR MY11-MY14
120|TRIAL EVO 80 JUNIOR MY11-MY14
124|ENDURO RR 50 MY05-MY06
126|ENDURO RR 50 RACING MY05-MY06
128|ENDURO RR 50 MY05-MY06
129|ENDURO RR 50 MY07
131|ENDURO RR 50 RACING MY07
133|ENDURO RR 50 MY07
134|ENDURO RR 125 4T MY07
135|ENDURO RR 125 MY08-MY09
137|ENDURO RE 125 MY08
138|ENDURO RR 50 RACING MY08
139|ENDURO RR 50 MY09
140|ENDURO RR 50 MY08-MY09
142|TRIAL REV 250 MY04
143|TRIAL REV 270 MY04
144|TRIAL REV 250 MY05
145|TRIAL REV 200 MY05
146|TRIAL REV 270 MY05
147|TRIAL REV 125 MY05
148|TRIAL REV 250 MY06
150|TRIAL REV 200 MY06
152|TRIAL REV 270 MY06
154|TRIAL REV 125 MY06
156|TRIAL REV 250 MY07
157|TRIAL REV 200 MY07
158|TRIAL REV 270 MY07
159|TRIAL REV 125 MY07
160|ENDURO RR 400 MY06
161|ENDURO RR 450 MY06
162|ENDURO RR 525 MY06
163|ENDURO RR 400 MY07
165|ENDURO RR 450 MY07
167|ENDURO RR 525 MY07
169|ENDURO RR 400 MY08
170|ENDURO RR 450 MY08
171|ENDURO RR 525 MY08
172|TRIAL REV 250 4T MY07
174|TRIAL REV 250 4T MY08
175|TRIAL REV 250 MY08
176|TRIAL REV 200 MY08
177|TRIAL REV 270 MY08
178|TRIAL REV 125 MY08
179|CROSS MINI 50 AIR MY12
180|CROSS MINI 50 AIR MY12
181|TRIAL MINI 50 LC MY15
182|TRIAL EVO 200 2T MY09
183|TRIAL EVO 125 2T MY09
184|TRIAL EVO 250 2T MY09
185|TRIAL EVO 290 2T MY09
186|TRIAL EVO 125 2T MY18
187|TRIAL EVO 125 2T MY19
189|TRIAL EVO 200 2T MY19
190|TRIAL EVO 250 2T MY18
191|TRIAL EVO 250 2T MY19
193|TRIAL EVO 200 2T MY10
194|TRIAL EVO 300 2T MY19
195|TRIAL EVO 125 2T MY10
196|TRIAL EVO 250 2T MY10
197|TRIAL EVO 290 2T MY10
199|TRIAL EVO 300 2T SS MY19
200|TRIAL EVO 125 2T FACTORY MY18
201|TRIAL EVO 250 2T FACTORY MY18
202|TRIAL EVO 300 2T FACTORY MY18
203|TRIAL EVO 200 2T MY11
204|TRIAL EVO 125 2T MY11
205|TRIAL EVO 250 2T MY11
206|TRIAL EVO 290 2T MY11
207|TRIAL EVO 300 2T FACTORY MY11
208|TRIAL EVO 200 2T MY12
209|TRIAL EVO 125 2T STANDARD/FACTORY MY12
211|TRIAL EVO 250 2T STANDARD/FACTORY MY12
212|TRIAL EVO 300 2T STANDARD/FACTORY MY12
213|TRIAL EVO 200 2T MY13
214|TRIAL EVO 125 2T STANDARD/FACTORY MY13
216|TRIAL EVO 250 2T STANDARD/FACTORY MY13
218|TRIAL EVO 300 2T STANDARD/FACTORY MY13
220|TRIAL EVO 200 2T MY14
221|TRIAL EVO 125 2T STANDARD/FACTORY MY14
223|TRIAL EVO 250 2T STANDARD/FACTORY MY14
225|TRIAL EVO 300 2T STANDARD/FACTORY MY14
233|TRIAL EVO 300 2T FACTORY MY15
234|TRIAL EVO 125 2T MY16
235|TRIAL EVO 200 2T MY16
236|TRIAL EVO 250 2T MY16
237|TRIAL EVO 300 2T MY16
238|TRIAL EVO 125 2T MY17
240|TRIAL EVO 250 2T MY17
239|TRIAL EVO 200 2T MY17
241|TRIAL EVO 300 2T MY17
242|TRIAL EVO 300 2T SS MY17
243|TRIAL EVO 125 2T FACTORY MY16
244|TRIAL EVO 250 2T FACTORY MY16
246|TRIAL EVO 125 2T FACTORY MY17
245|TRIAL EVO 300 2T FACTORY MY16
247|TRIAL EVO 250 2T FACTORY MY17
249|TRIAL EVO 300 2T FACTORY SS MY17
260|TRIAL EVO 250 4T MY14
088|MOTARD RR 125 LC MY14-MY15
261|TRIAL EVO 300 4T MY14
262|TRIAL EVO 250 4T MY15
251|TRIAL EVO 300 4T MY09
252|TRIAL EVO 250 4T MY10
253|TRIAL EVO 300 4T MY10
254|TRIAL EVO 250 4T MY11
255|TRIAL EVO 300 4T MY11
256|TRIAL EVO 250 4T MY12-MY13
267|TRIAL EVO 300 4T MY17
